Category,ThemeWord,ImagePath,Description,Question,Answer
Animals,jellyfish,,"Two brown and white jellyfish are floating in the water. They have long, curly tentacles and a round, bell-shaped body.","1. What can you see in the picture?
2. What color are the jellyfish?
3. How many jellyfish are there?
4. What do the jellyfish have?
5. Where do the jellyfish live, in the water or on the land?
6. What do jellyfish eat, fish or plants?
7. How do jellyfish move?","1. I can see jellyfish in the picture.
2. The jellyfish are brown and white.
3. There are two jellyfish.
4. The jellyfish have long, curly tentacles.
5. The jellyfish live in the water.
6. Jellyfish eat fish.
7. Jellyfish float and swim."
Animals,kitten,,A small brown and black kitten with four legs is walking on the grass.,"1. What can you see in the picture?
2. What color is the kitten?
3. How many legs does the kitten have?
4. What is the kitten doing?
5. Where is the kitten, on the grass or in the water?
6. What does the kitten eat, milk or bread?
7. How does the kitten move?","1. I can see a kitten in the picture.
2. The kitten is brown and black.
3. The kitten has four legs.
4. The kitten is walking.
5. The kitten is on the grass.
6. The kitten eats milk.
7. The kitten walks and runs."
Animals,lizard,,"A colorful lizard with green, yellow, blue, and white spots stands on some rocks. It has four legs and a long tail.","1. What can you see in the picture?
2. What color is the lizard?
3. How many legs does the lizard have?
4. What is the lizard doing?
5. Where does the lizard live, in the forest or in the water?
6. What does the lizard eat, insects or leaves?
7. How does the lizard move?","1. I can see a lizard in the picture.
2. The lizard is green, yellow, blue, and white.
3. The lizard has four legs.
4. The lizard is standing on the rocks.
5. The lizard lives in the forest.
6. The lizard eats insects.
7. The lizard walks and runs."
Animals,mouse,,A brown mouse with a round body and four legs is eating seeds.,"1. What can you see in the picture?
2. What color is the mouse?
3. How many legs does the mouse have?
4. What is the mouse doing?
5. Where does the mouse live, in a house or in a forest?
6. What does the mouse eat, seeds or meat?
7. Is the mouse big or small?","1. I can see a mouse in the picture.
2. The mouse is brown.
3. The mouse has four legs.
4. The mouse is eating seeds.
5. The mouse lives in a house.
6. The mouse eats seeds.
7. The mouse is small."
Animals,octopus,,An octopus is swimming in the water. It has eight long legs with many white suckers. The octopus is red and white.,"1. What can you see in the picture?
2. What color is the octopus?
3. How many legs does the octopus have?
4. What is the octopus doing?
5. Where does the octopus live, in the water or on the land?
6. What does the octopus eat, fish or grass?
7. How does the octopus move?","1. I can see an octopus in the picture.
2. The octopus is red and white.
3. The octopus has eight legs.
4. The octopus is swimming.
5. The octopus lives in the water.
6. The octopus eats fish.
7. The octopus swims and walks with its legs."
Animals,parrot,,A blue and yellow parrot is sitting on a branch. It has a big beak and two legs.,"1. What can you see in the picture?
2. What color is the parrot?
3. How many legs does the parrot have?
4. What is the parrot doing?
5. Where does the parrot live, in a tree or in the water?
6. What does the parrot eat, seeds or fish?
7. What does the parrot have on its face?","1. I can see a parrot in the picture.
2. The parrot is blue and yellow.
3. The parrot has two legs.
4. The parrot is sitting on a branch.
5. The parrot lives in a tree.
6. The parrot eats seeds.
7. The parrot has a big beak."
Animals,polar bear,,A white polar bear with four legs and a big body is walking on the snow.,"1. What can you see in the picture?
2. What color is the polar bear?
3. How many legs does the polar bear have?
4. What is the polar bear doing?
5. Where does the polar bear live, in the snow or in the forest?
6. What does the polar bear eat, fish or bread?
7. How does the polar bear move?","1. I can see a polar bear in the picture.
2. The polar bear is white.
3. The polar bear has four legs.
4. The polar bear is walking.
5. The polar bear lives in the snow.
6. The polar bear eats fish.
7. The polar bear walks and swims."
Animals,puppy,,This is a light brown puppy. It has four legs and a small size. The puppy is standing on a wooden floor and looking at the camera.,"1. What can you see in the picture?
2. What color is the puppy?
3. How many legs does the puppy have?
4. What is the puppy doing?
5. Where is the puppy standing, on a wooden floor or on the grass?
6. What does the puppy eat, meat or bread?
7. How does the puppy move?","1. I can see a puppy in the picture.
2. The puppy is light brown.
3. The puppy has four legs.
4. The puppy is standing and looking.
5. The puppy is standing on a wooden floor.
6. The puppy eats meat.
7. The puppy runs and walks."
Animals,rooster,,"A red rooster with orange, black, and green feathers stands on the ground. It has two legs and a big red comb.","1. What can you see in the picture?
2. What color is the rooster?
3. How many legs does the rooster have?
4. What is the rooster doing?
5. Where does the rooster live, on a farm or in the forest?
6. What does the rooster eat, seeds or fish?
7. What is on the rooster's head?","1. I can see a rooster in the picture.
2. The rooster is red, orange, black, and green.
3. The rooster has two legs.
4. The rooster is standing on the ground.
5. The rooster lives on a farm.
6. The rooster eats seeds.
7. The rooster has a big red comb on its head."
Animals,sheep,,Some white sheep with fluffy wool are standing in a field. They have four legs each.,"1. What can you see in the picture?
2. What color are the sheep?
3. How many legs does a sheep have?
4. What is the sheep doing?
5. Where does the sheep live, on a farm or in the city?
6. What does the sheep eat, grass or fish?
7. How does the sheep move?","1. I can see sheep in the picture.
2. The sheep are white.
3. A sheep has four legs.
4. The sheep is standing.
5. The sheep lives on a farm.
6. The sheep eats grass.
7. The sheep walks and runs."
Animals,sloth,,A brown sloth with four legs and big eyes is eating a green leaf.,"1. What can you see in the picture?
2. What color is the sloth?
3. How many legs does the sloth have?
4. What is the sloth doing?
5. Where does the sloth live, in the forest or in the water?
6. What does the sloth eat, leaves or fish?
7. How does the sloth move?","1. I can see a sloth in the picture.
2. The sloth is brown.
3. The sloth has four legs.
4. The sloth is eating a leaf.
5. The sloth lives in the forest.
6. The sloth eats leaves.
7. The sloth climbs and walks."
Animals,snake,,This is a snake. It is brown and black. The snake has no legs and a long body. It is resting on the grass.,"1. What can you see in the picture?
2. What color is the snake?
3. How many legs does the snake have?
4. What is the snake doing?
5. Where is the snake, on the grass or in the water?
6. What does the snake eat, mice or leaves?
7. How does the snake move?","1. I can see a snake in the picture.
2. The snake is brown and black.
3. The snake has no legs.
4. The snake is resting.
5. The snake is on the grass.
6. The snake eats mice.
7. The snake slithers."
Animals,squirrel,,"A brown and white squirrel with four legs and a bushy tail is sitting on a branch, holding a nut.","1. What can you see in the picture?
2. What color is the squirrel?
3. How many legs does the squirrel have?
4. What is the squirrel doing?
5. Where does the squirrel live, in a tree or in the water?
6. What does the squirrel eat, nuts or fish?
7. What does the squirrel have on its body?","1. I can see a squirrel in the picture.
2. The squirrel is brown and white.
3. The squirrel has four legs.
4. The squirrel is holding a nut.
5. The squirrel lives in a tree.
6. The squirrel eats nuts.
7. The squirrel has a bushy tail."
Animals,tiger,,A big tiger with orange and white fur and four legs is resting in the snow. It has big eyes and is looking at something.,"1. What can you see in the picture?
2. What color is the tiger?
3. How many legs does the tiger have?
4. What is the tiger doing?
5. Where is the tiger, in the snow or in the water?
6. What does the tiger eat, meat or grass?
7. How does the tiger move?","1. I can see a tiger in the picture.
2. The tiger is orange and white.
3. The tiger has four legs.
4. The tiger is resting.
5. The tiger is in the snow.
6. The tiger eats meat.
7. The tiger runs and walks."
Animals,wolf,,"Three gray and white wolves are standing together. They have four legs, pointy ears, and bushy tails. They are looking at something in the forest.","1. What can you see in the picture?
2. What color are the wolves?
3. How many legs does a wolf have?
4. What are the wolves doing?
5. Where do the wolves live, in the forest or in the city?
6. What do wolves eat, meat or grass?
7. How does a wolf move?","1. I can see wolves in the picture.
2. The wolves are gray and white.
3. A wolf has four legs.
4. The wolves are looking at something.
5. The wolves live in the forest.
6. Wolves eat meat.
7. A wolf runs and walks."
